Парковка №0302 (209);10;город Москва, переулок Каменная Слобода, дом 6/2, строение 2;37.585809859034704;55.75018354858372
Парковка №0302 (208);2;город Москва, переулок Каменная Слобода, дом 2/1, строение 1;37.5865784;55.7503715
Парковка №0302 (207);2;город Москва, переулок Каменная Слобода, дом 3;37.58591475;55.75014255
Парковка №0302 (206);4;город Москва, переулок Каменная Слобода, дом 2/1, строение 1;37.5864306;55.750268199999994
Парковка №0302 (205);6;город Москва, переулок Каменная Слобода, дом 7;37.584394200000006;55.74974105
Парковка №0302 (121);7;город Москва, Спасопесковский переулок, дом 7/1, строение 1;37.5873245;55.7500165
Парковка №0302 (122);7;город Москва, Калошин переулок, дом 6, строение 1;37.592134;55.748393
Парковка №0302 (204);1;город Москва, Карманицкий переулок, дом 5;37.58425295;55.74864325
Парковка №0302 (123);4;город Москва, Калошин переулок, дом 2/24;37.592232;55.74756
Парковка №0302 (126);12;город Москва, улица Арбат, дом 6/2;37.597089;55.7519365
Парковка №0302 (127);13;город Москва, улица Новый Арбат, дом 11, строение 2;37.596920499999996;55.752035500000005
Парковка №0302 (128);6;город Москва, Малый Николопесковский переулок, дом 4;37.592574;55.7505675
Парковка №0302 (140);11;город Москва, Трубниковский переулок, дом 6;37.58725;55.7510195
Парковка №0302 (129);2;город Москва, улица Новый Арбат, дом 7, строение 1;37.596992;55.7525135
Парковка №0302 (203);1;город Москва, Карманицкий переулок, дом 8, строение 1;37.586058699999995;55.749338800000004
Парковка №0302 (130);5;город Москва, улица Арбат, дом 38/1, строение 2;37.588258999999994;55.74878
Парковка №0302 (131);5;город Москва, 2-й Смоленский переулок, дом 1/4;37.580724000000004;55.747132
Парковка №0302 (132);5;город Москва, 2-й Смоленский переулок, дом 1/4;37.581635;55.747227
Парковка №0302 (133);2;город Москва, 2-й Смоленский переулок, дом 1/4;37.5807145;55.7472095
Парковка №0302 (254);8;город Москва, улица Новый Арбат, дом 31/12;37.576153;55.7521445
Парковка №0306 (13);1;город Москва, Мясницкая улица, дом 47;37.644802150000004;55.7686113
Парковка №0302 (253);4;город Москва, улица Новый Арбат, дом 31/12;37.577341000000004;55.752151
Парковка №0302 (252);8;город Москва, улица Новый Арбат, дом 27;37.5782635;55.752148
Парковка №0302 (251);12;город Москва, улица Новый Арбат, дом 27;37.5794355;55.75216
Парковка №0302 (250);19;город Москва, улица Новый Арбат, дом 25;37.58173445048081;55.75222292572461
Парковка №0302 (137);8;город Москва, улица Новый Арбат, дом 34, строение 1;37.578540602343736;55.75313111171688
Парковка №0302 (138);6;город Москва, улица Новый Арбат, дом 34;37.578991;55.753897
Парковка №0302 (248);3;город Москва, 1-й Николощеповский переулок, дом 6, строение 2;37.580524499999996;55.748590500000006
Парковка №0302 (247);3;город Москва, 1-й Смоленский переулок, дом 24А;37.57935;55.750196
Парковка №0302 (246);6;город Москва, 1-й Смоленский переулок, дом 19, строение 1;37.579875;55.7491985
Парковка №0302 (245);5;город Москва, 1-й Смоленский переулок, дом 24;37.5796115;55.7497215
Парковка №0302 (244);5;город Москва, 1-й Смоленский переулок, дом 17, строение 1;37.58025345644274;55.74832512767478
Парковка №0302 (243);5;город Москва, 1-й Смоленский переулок, дом 13;37.580265;55.747672
Парковка №0302 (240);5;город Москва, Смоленская набережная, дом 2;37.5764925;55.7463405
Парковка №0302 (237);5;город Москва, Шубинский переулок, дом 7;37.579059;55.746481
Парковка №0302 (236);3;город Москва, Смоленская набережная, дом 5/13;37.5759915;55.749624
Парковка №0301 (1);4;город Москва, улица Пречистенка, дом 31/16;37.5901295;55.7401725
Парковка №0301 (2);2;город Москва, улица Пречистенка, дом 35, строение 2;37.589015;55.739721
Парковка №0301 (3);5;город Москва, улица Пречистенка, дом 25;37.591513500000005;55.740657
Парковка №0301 (4);7;город Москва, улица Пречистенка, дом 19/11, строение 2;37.5936915;55.7415345
Парковка №0301 (5);2;город Москва, улица Пречистенка, дом 17/8, строение 5;37.5943795;55.741838
Парковка №0301 (6);6;город Москва, улица Пречистенка, дом 15;37.59579;55.742485
Парковка №0301 (7);7;город Москва, улица Пречистенка, дом 22/2, строение 1;37.5946115;55.742048999999994
Парковка №0301 (8);6;город Москва, улица Пречистенка, дом 14/1, строение 1;37.5969425;55.7430745
Парковка №0301 (9);6;город Москва, улица Пречистенка, дом 12/2, строение 10;37.5982545;55.743582
Парковка №0301 (10);7;город Москва, Зубовский бульвар, дом 25;37.590169599999996;55.736789349999995
Парковка №0301 (11);6;город Москва, Зубовский бульвар, дом 17, строение 1;37.59105955;55.73646815
Парковка №0301 (12);6;город Москва, Зубовский бульвар, дом 27, строение 1;37.58912599999999;55.737185
Парковка №0301 (13);9;город Москва, Зубовский бульвар, дом 29;37.588134;55.737588
Парковка №0301 (14);4;город Москва, Смоленский бульвар, дом 13, строение 1;37.584278499999996;55.741716999999994
Парковка №0301 (15);3;город Москва, Смоленский бульвар, дом 15;37.584125;55.7421485
Парковка №0301 (16);3;город Москва, Смоленский бульвар, дом 17, строение 1;37.584032;55.7424435
Парковка №0301 (17);3;город Москва, Смоленский бульвар, дом 17, строение 1;37.583946999999995;55.742705
Парковка №0301 (18);12;город Москва, Смоленский бульвар, дом 19, строение 1;37.583698999999996;55.743322000000006
Парковка №0301 (19);8;город Москва, Зубовский бульвар, дом 16-20, строение 1;37.588279;55.737937
Парковка №0301 (20);10;город Москва, Смоленский бульвар, дом 6-8;37.585559;55.740382999999994
Парковка №0301 (21);8;город Москва, Смоленский бульвар, дом 13, строение 1;37.584438;55.741285500000004
Парковка №0301 (22);5;город Москва, Саввинская набережная, дом 3;37.5708495;55.7392325
Парковка №0301 (23);11;город Москва, Саввинская набережная, дом 3;37.570246;55.738543500000006
Парковка №0301 (24);28;город Москва, Саввинская набережная, дом 3;37.5699888582794;55.73855939064692
Парковка №0301 (25);22;город Москва, Саввинская набережная, дом 11;37.5671995;55.735968
Парковка №0301 (26);8;город Москва, Саввинская набережная, дом 23, строение 1;37.559289500000006;55.732012999999995
Парковка №0301 (27);3;город Москва, Саввинская набережная, дом 27;37.5580315;55.731127
Парковка №0301 (28);21;город Москва, Большой Саввинский переулок, дом 12, строение 8;37.5619395;55.733265
Парковка №0301 (29);45;город Москва, Саввинская набережная, дом 19, строение 1Б;37.566505216572004;55.735637804556085
