Fornetto кафе-пиццерия / Форнетто (Пресненская наб.);https://www.restoran.ru/msk/detailed/restaurants/fornetto_bar_pizza_fornetto_presnenskaya_nab_/
Forza / Форза;https://www.restoran.ru/msk/detailed/restaurants/forza/
Fresco / Фреско;https://www.restoran.ru/msk/detailed/restaurants/fresco/
Friend’s Hall Charisma / Фрэндс Холл Харизма;https://www.restoran.ru/msk/detailed/restaurants/friend-s-hall-charisma/
Friends / Френдс (Краснобогатырская ул.);https://www.restoran.ru/msk/detailed/restaurants/friends/
Friends Hall Newtone / Френдс Холл Ньютон;https://www.restoran.ru/msk/detailed/restaurants/friends-hall-newtone/
Fu Syan / Фу Сян;https://www.restoran.ru/msk/detailed/restaurants/fuxiang/
Fusion / Фьюжен;https://www.restoran.ru/msk/detailed/restaurants/fusion/
Gallery / Галерея;https://www.restoran.ru/msk/detailed/restaurants/gallery/
Gayane’s / Гаяне;https://www.restoran.ru/msk/detailed/restaurants/gayanes/
GG Grill;https://www.restoran.ru/msk/detailed/restaurants/gg-grill/
Gipsy / Джипси;https://www.restoran.ru/msk/detailed/restaurants/gipsy/
Glastonberry Pub / Гластонберри Паб;https://www.restoran.ru/msk/detailed/restaurants/glastonberry_pub/
Gluhwein / Глинтвейн;https://www.restoran.ru/msk/detailed/restaurants/gluhwein/
Golden Lotus / Голден Лотос;https://www.restoran.ru/msk/detailed/restaurants/golden-lotus/
Good Beetle;https://www.restoran.ru/msk/detailed/restaurants/good-beetle/
Goodman Prime;https://www.restoran.ru/msk/detailed/restaurants/goodman-prime/
Goos`to wine / Густу вайн;https://www.restoran.ru/msk/detailed/restaurants/goos-to-wine/
Grammy’s / Грэммиз;https://www.restoran.ru/msk/detailed/restaurants/o_zhanna/
Grand Cru by Adrian Quetglas / Гранд Крю бай Адриан Кетглас;https://www.restoran.ru/msk/detailed/restaurants/grand-cru-by-adrian-quetglas/
Grand Урюк на Жукова;https://www.restoran.ru/msk/detailed/restaurants/uryuk_marshala_zhukova/
Grange Cafe / Гранж кафе;https://www.restoran.ru/msk/detailed/restaurants/GrangeCafe/
Grape / Грейп;https://www.restoran.ru/msk/detailed/restaurants/grape/
Green Palace / Грин Палас;https://www.restoran.ru/msk/detailed/restaurants/green-palace/
Gretel / Гретель;https://www.restoran.ru/msk/detailed/restaurants/gretel/
Grill and Vine / Гриль и Вино;https://www.restoran.ru/msk/detailed/restaurants/grill-and-vine/
Grill Grad / Гриль Град;https://www.restoran.ru/msk/detailed/restaurants/grill-grad/
Grill House / Гриль Хаус;https://www.restoran.ru/msk/detailed/restaurants/grill-house/
GrossBeer / Гроссбир;https://www.restoran.ru/msk/detailed/restaurants/grossbeer/
Grut / Грют;https://www.restoran.ru/msk/detailed/restaurants/grut/
Guava Bar / Гуава Бар;https://www.restoran.ru/msk/detailed/restaurants/guavabar/
Gustatore / Густаторе;https://www.restoran.ru/msk/detailed/restaurants/gustatore/
Hands / Хэндс;https://www.restoran.ru/msk/detailed/restaurants/hands/
